symbol,name,sector,effective_from,effective_to,source
TCELL.IS,TURKCELL İLETİŞİM HİZMETLERİ A.Ş.,TELEKOMÜNİKASYON,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
TUPRS.IS,TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
TRALT.IS,TÜRK ALTIN İŞLETMELERİ A.Ş.,MADENCİLİK VE TAŞ OCAKÇILIĞI,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
THYAO.IS,TÜRK HAVA YOLLARI A.O.,ULAŞTIRMA VE DEPOLAMA,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
GARAN.IS,TÜRKİYE GARANTİ BANKASI A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
HALKB.IS,TÜRKİYE HALK BANKASI A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ISCTR.IS,TÜRKİYE İŞ BANKASI A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
TSKB.IS,TÜRKİYE SINAİ KALKINMA BANKASI A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
TURSG.IS,TÜRKİYE SİGORTA A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
SISE.IS,TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
VAKBN.IS,TÜRKİYE VAKIFLAR BANKASI T.A.O.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
TTKOM.IS,TÜRK TELEKOMÜNİKASYON A.Ş.,TELEKOMÜNİKASYON,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ULKER.IS,ÜLKER BİSKÜVİ SANAYİ A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
VESTL.IS,VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
YKBNK.IS,YAPI VE KREDİ BANKASI A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ZOREN.IS,ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş.,ELEKTRİK GAZ VE SU,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
